mmsi,name,callsign,navstatus,sog,timestamp,latitude,longitude
564526000,"Ever Best          """,9V2302,5-Moored,5.1,2020-12-10 14:56:08,1.291023,103.929853
419001208,Dipper,AWSM,5-Moored,5.0,2020-12-10 14:29:54,22.483952,69.683953
413505290,Jin Tai 158,BDZN,5-Moored,4.9,2020-12-10 17:53:19,25.263287,119.830655
413765018,Wanchizhouhuo5899,5899,5-Moored,4.8,2020-12-10 19:03:58,31.12245,117.99311
413859119,Tianshun015,,5-Moored,4.8,2020-12-10 12:23:05,31.23501,121.490027
525100515,Mv Spil Niken,YBUP2,5-Moored,4.8,2020-12-10 17:53:41,-6.825862,112.776328
413789033,Yihai79,,5-Moored,4.8,2020-12-10 13:33:17,30.663487,114.41171
412002210,Lian Gang 26,BTBY,5-Moored,4.7,2020-12-10 14:36:56,31.67927,121.18207
419001253,U_/ Lohgad,AWTQ%(B,5-Moored,4.7,2020-12-10 13:37:54,18.023247,72.864198
419001518,Dolphin No29,VTFQ,5-Moored,4.6,2020-12-10 13:23:50,22.736852,69.694038
540011500,Ocean Wanderer,FAA8050,5-Moored,4.6,2020-12-10 20:41:38,-18.623697,163.939337
540011500,Ocean Wanderer,FAA8050,5-Moored,4.6,2020-12-10 20:43:48,-18.621958,163.936935
566053000,Asl Mars,9V7430,5-Moored,4.6,2020-12-10 14:55:44,1.237865,103.64437
525013014,Tanto Bersama,PNXP,5-Moored,4.5,2020-12-10 20:59:11,3.792898,98.714412
413783464,Wanzhouzhuang369hao,000,5-Moored,4.5,2020-12-10 19:50:10,30.44443,120.14429
273451930,Viktoriya-ii,UEMG,5-Moored,4.4,2020-12-10 19:38:45,42.394055,132.538537
419064309,O\uan Symphony,AUNO+DB,5-Moored,4.4,2020-12-10 17:40:04,18.678607,72.914517
413471010,Zhi Hai 125,,5-Moored,4.3,2020-12-10 14:48:41,19.980402,110.03298
413812569,Xingyu689,0000,5-Moored,4.2,2020-12-10 17:41:11,30.140823,116.834035
413331920,Qingganghuanxiaotuo2,BQGT,5-Moored,4.2,2020-12-10 17:54:30,35.580825,119.802218
574252000,Petrolimex 16,3WZP,5-Moored,4.1,2020-12-10 17:54:34,2.2437,102.120317
413831655,Jiang Hai 18988,0000000,5-Moored,4.0,2020-12-10 20:14:47,32.327917,119.843117
413780801,Wanhai698,16,5-Moored,4.0,2020-12-10 20:37:06,32.2019,119.047588
353118005,Aara 1,HO70<D,5-Moored,3.9,2020-12-10 16:28:56,18.787833,72.867195
413816716,Yu Xin Huo 11778,YYYY,5-Moored,3.8,2020-12-10 16:49:17,32.137047,118.781702
563674981,,,5-Moored,3.8,2020-12-10 13:53:24,19.007093,72.939167
563502000,Pacific Aurora,9VGX4,5-Moored,3.8,2020-12-10 16:41:53,16.978225,82.285563
413859119,Tianshun015,,5-Moored,3.7,2020-12-10 16:58:53,30.986017,121.372333
525025061,Meratus Benoa,PNPC,5-Moored,3.7,2020-12-10 13:23:33,-6.938672,110.421487
413827311,Gan Fuzhou Huo0785,TSTAISB,5-Moored,3.7,2020-12-10 19:53:35,31.579797,118.39313
419000152,Sunrise-ii,AVGS,5-Moored,3.5,2020-12-10 12:56:25,16.940708,82.24384
413768314,Ronghangji 0288,,5-Moored,3.4,2020-12-10 18:47:59,31.77233,120.96656
567000519,Mt.kanok Muthalong,HSB5339,5-Moored,3.3,2020-12-10 12:31:11,12.66428,101.14959
413831655,Jiang Hai 18988,0000000,5-Moored,3.3,2020-12-10 15:31:54,32.303967,119.83825
503600000,Oita,VNW6239,5-Moored,3.2,2020-12-10 14:58:39,-20.636567,116.713383
